date,IdProduct,IdWarehouse,Actual_Quantity,Predicted_Quantity,Error
2025-03-01,184936,258,1.0,1.13,-0.1299999999999999
2025-03-01,184938,258,3.0,1.51,1.49
2025-03-01,184939,258,2.0,1.74,0.26
2025-03-01,184950,258,2.0,1.17,0.8300000000000001
2025-03-01,184951,258,3.0,1.14,1.86
2025-03-01,184954,258,5.0,2.06,2.94
2025-03-01,184955,258,2.0,1.08,0.9199999999999999
2025-03-01,184958,258,2.0,2.2,-0.20000000000000018
2025-03-01,184933,258,1.0,1.48,-0.48
2025-03-01,184961,258,1.0,3.0,-2.0
2025-03-01,184965,258,2.0,1.9,0.10000000000000009
2025-03-01,184966,258,2.0,3.3,-1.2999999999999998
2025-03-01,184973,258,2.0,2.09,-0.08999999999999986
2025-03-01,184976,258,2.0,1.9,0.10000000000000009
2025-03-01,184980,258,1.0,1.05,-0.050000000000000044
2025-03-01,184986,258,1.0,1.36,-0.3600000000000001
2025-03-01,184990,258,2.0,1.11,0.8899999999999999
2025-03-01,184997,258,1.0,1.65,-0.6499999999999999
2025-03-01,185002,258,4.0,1.95,2.05
2025-03-01,184963,258,1.0,1.39,-0.3899999999999999
2025-03-01,184928,258,1.0,1.11,-0.1100000000000001
2025-03-01,184927,258,2.0,2.11,-0.10999999999999988
2025-03-01,184924,258,2.0,1.16,0.8400000000000001
2025-03-01,184860,258,1.0,1.27,-0.27
2025-03-01,190073,258,1.0,1.76,-0.76
2025-03-01,184865,258,1.0,1.4,-0.3999999999999999
2025-03-01,184866,258,2.0,1.51,0.49
2025-03-01,184867,258,1.0,1.28,-0.28
2025-03-01,184868,258,1.0,2.31,-1.31
2025-03-01,184872,258,1.0,1.08,-0.08000000000000007
2025-03-01,184873,258,4.0,2.34,1.6600000000000001
2025-03-01,184877,258,3.0,1.86,1.14
2025-03-01,184879,258,2.0,1.33,0.6699999999999999
2025-03-01,184881,258,3.0,3.87,-0.8700000000000001
2025-03-01,184882,258,1.0,1.57,-0.5700000000000001
2025-03-01,184883,258,14.0,10.0,4.0
2025-03-01,184885,258,5.0,2.7,2.3
2025-03-01,184886,258,2.0,1.95,0.050000000000000044
2025-03-01,184891,258,3.0,4.0,-1.0
2025-03-01,184893,258,1.0,1.43,-0.42999999999999994
2025-03-01,184899,258,2.0,2.46,-0.45999999999999996
2025-03-01,184903,258,1.0,2.43,-1.4300000000000002
2025-03-01,184904,258,2.0,2.31,-0.31000000000000005
2025-03-01,184910,258,1.0,2.34,-1.3399999999999999
2025-03-01,184911,258,2.0,2.49,-0.4900000000000002
2025-03-01,184912,258,12.0,13.29,-1.2899999999999991
2025-03-01,184922,258,2.0,1.58,0.41999999999999993
